 1461110       1059  12018062520180731Pajamäki            33 25 280   12790  1M                                                                                0
 146111014611081059  22018062520180731Pajamäki            0  1  234   0     00MHerttoniemi(M)      Hertonäs(M)         Pasila as.          Böle st.            0
 146110814621061059  22018062520180731Pajamäentie         0  2  191   234   00M                                                                                0
 146210614651041059  22018062520180731Talin siirt.puutarha1  3  501   425   00M                                                                                0
 146510414651021059  22018062520180731Takomotie           2  4  412   926   00M                                                                                0
 146510212911191059  22018062520180731Valimotie           3  5  915   1338  00M                                                                                0
 129111911601181059  22018062520180731Talontie            6  6  744   2253  00M                                                                                0
 116011812921231059  22018062520180731Ruskeasuon varikko  8  7  291   2997  00M                                                                                2
 129212311711041059  22018062520180731Kivihaka            8  8  645   3288  00M                                                                                0
 117110411711211059  22018062520180731Ilmalanrinne        10 9  356   3933  00M                                                                                0
 117112111711271059  22018062520180731Ilmalantori         10 10 369   4289  00M                                                                                0
 117112711711251059  22018062520180731Tv-keskus           11 11 165   4658  00M                                                                                0
 117112511711311059  22018062520180731Radiokatu           11 12 203   4823  00M                                                                                0
 117113111711581059  22018062520180731Iso Paja            12 13 225   5026  00M                                                                                0
 117115811731041059  22018062520180731Kyllikinportti      12 14 923   5251  00M                                                                                0
 117310412201311059  22018062520180731Pasilan asema       17 15 430   6174  00MHerttoniemi(M)      Hertonäs(M)                                                 2
 122013112201171059  22018062520180731Jämsänkatu          18 16 253   6604  00M                                                                                0
 122011712201151059  22018062520180731Pasilan konepaja    20 17 346   6857  01M                                                                                0
 122011512201131059  22018062520180731Telekatu            21 18 362   7203  00M                                                                                0
 122011312201201059  22018062520180731Päijänteentie       23 19 478   7565  00M                                                                                0
 122012011001091059  22018062520180731Junatie             24 20 1120  8043  01L                                                                                0
 110010914201151059  22018062520180731Kalasatama (M)      26 21 1017  9163  00M                                                                                0
 142011514201171059  22018062520180731Kulosaari           27 22 756   10180 00M                                                                                0
 142011714341011059  22018062520180731Tupasaari           28 23 792   10936 00M                                                                                0
 143410114311041059  22018062520180731Kipparlahti         29 24 792   11728 00M                                                                                0
 1431104       1059  22018062520180731Herttoniemi (M)     31 25 640   12368  1M                                                                                0
 143110414311021059  12018080120180812Herttoniemi (M)     0  1  600   0     00MPajamäki            Smedjebacka         Pasila as.          Böle st.            0
 143110214201181059  12018080120180812Kipparlahti         1  2  670   600   00M                                                                                0
 142011814201161059  12018080120180812Tupasaari           2  3  530   1270  00M                                                                                0
 142011611001101059  12018080120180812Kulosaari           2  4  1266  1800  01M                                                                                0
 110011011001591059  12018080120180812Kalasatama (M)      4  5  637   3066  00L                                                                                0
 110015912201191059  12018080120180812Tynnyrintekijänkatu 5  6  356   3703  00M                                                                                0
 122011912201121059  12018080120180812Junatie             7  7  406   4059  01M                                                                                2
 122011212201341059  12018080120180812Päijänteentie       8  8  435   4465  00M                                                                                0
 122013412201141059  12018080120180812Telekatu            9  9  261   4900  00M                                                                                0
 122011411731131059  12018080120180812Pasilan konepaja    10 10 384   5161  00M                                                                                0
 117311311731231059  12018080120180812Jämsänkatu          11 11 453   5545  01MPajamäki            Smedjebacka         Ruskeasuo           Brunakärr           0
 117312311711541059  12018080120180812Pasilan asema       13 12 924   5998  00M                                                                                0
 117115411711301059  12018080120180812Kyllikinportti      17 13 245   6922  00M                                                                                0
 117113011711241059  12018080120180812Iso Paja            19 14 166   7167  00M                                                                                0
 117112411711261059  12018080120180812Radiokatu           19 15 286   7333  00M                                                                                0
 117112611711801059  12018080120180812Tv-keskus           19 16 279   7619  00M                                                                                0
 117118011711051059  12018080120180812Ilmalantori         20 17 360   7898  00M                                                                                0
 117110512921221059  12018080120180812Ilmalanrinne        21 18 1276  8258  00M                                                                                0
 129212212911671059  12018080120180812Kivihaka            23 19 260   9534  00MPajamäki            Smedjebacka                                                 0
 129116712912201059  12018080120180812Ruskeasuon varikko  24 20 574   9794  00M                                                                                0
 129122014651431059  12018080120180812Talontie            26 21 844   10368 00M                                                                                0
 146514314651011059  12018080120180812Höyläämötie         29 22 296   11212 00M                                                                                0
 146510114651031059  12018080120180812Valimotie           30 23 384   11508 00M                                                                                0
 146510314651051059  12018080120180812Takomotie           31 24 401   11892 00M                                                                                0
 146510514611071059  12018080120180812Talin siirt.puutarha32 25 212   12293 00M                                                                                0
 146110714611101059  12018080120180812Pajamäentie         32 26 212   12505 00M                                                                                0
 1461110       1059  12018080120180812Pajamäki            33 27 280   12785  1M                                                                                0
 146111014611081059  22018080120180812Pajamäki            0  1  234   0     00MHerttoniemi(M)      Hertonäs(M)         Pasila as.          Böle st.            0
 146110814621061059  22018080120180812Pajamäentie         0  2  191   234   00M                                                                                0
 146210614651041059  22018080120180812Talin siirt.puutarha1  3  501   425   00M                                                                                0
 146510414651021059  22018080120180812Takomotie           2  4  412   926   00M                                                                                0
 146510212911191059  22018080120180812Valimotie           3  5  915   1338  00M                                                                                0
 129111911601181059  22018080120180812Talontie            6  6  744   2253  00M                                                                                0
 116011812921231059  22018080120180812Ruskeasuon varikko  8  7  291   2997  00M                                                                                2
 129212311711041059  22018080120180812Kivihaka            8  8  645   3288  00M                                                                                0
 117110411711211059  22018080120180812Ilmalanrinne        10 9  356   3933  00M                                                                                0
 117112111711271059  22018080120180812Ilmalantori         10 10 369   4289  00M                                                                                0
 117112711711251059  22018080120180812Tv-keskus           11 11 165   4658  00M                                                                                0
 117112511711311059  22018080120180812Radiokatu           11 12 203   4823  00M                                                                                0
 117113111711581059  22018080120180812Iso Paja            12 13 225   5026  00M                                                                                0
 117115811731041059  22018080120180812Kyllikinportti      12 14 923   5251  00M                                                                                0
